A'Karonys	High Mage of the Empire, counted among the Empress's cadre of powerful sorcerers.<br>
Raest	Undead Jaghut Tyrant imprisoned in a barrow in the Gadrobi Hills by his own people for his tyranny over the Imass; his power was stored separately in a Finnest that took the form of an acorn. Gaunt and nearly fleshless, ribs jutting with flayed green skin hanging in strips, pit eyes and a tusked slash of a mouth, he dragged broken feet in black leather and tattered banded iron.<br>
Rallick Nom|Nom|Rallick	Assassin in Ocelot’s clan in the Assassins’ Guild of Darujhistan. He was a regular of the Phoenix Inn with Kruppe, Coll, Crokus, and Murillio. Rallick acted as a mentor to Crokus, regularly offering advice about their trade and trying to keep the boy safe from harm.<br>
Rood	Ancient pack leader of the Hounds of Shadow, a fierce, scarred hunter whose charges have broken armies and shaken the Warren of Shadow.<br>
Scurve	Barman of the Phoenix Inn in Darujhistan.<br>
Serrat	Second-in-command to Anomander Rake among the Tiste Andii.<br>
Shan	Long, black and sleek Hound of Shadow, swiftest of the pack and often running at Baran's flank.<br>
Silanah	Draconic Eleint companion to Anomander Rake.<br>
Simtal|Lady Simtal	Lady of the Simtal Estate in Darujhistan and Turban Orr's lover.<br>
Sorry|Apsalar	A deadly, distant young girl serving with the 9th Squad of the Bridgeburners.<br>
Sulty	Serving woman at the Phoenix Inn.<br>
Surly	Former commander of the Claw under the name Surly, later known as Empress Laseen.<br>
Talo Krafar	Assassin of Jurrig Denatte's Clan in the Darujhistan Guild.<br>
Tattersail	Battlefield sorceress commanding mage of the Malazan 2nd Army mage cadre, member of Onearm's Host, known for reading the Deck of Dragons and to have access to the Warren Thyr.<br>
Tayschrenn	High Mage in service to the Empress, leading the Empire's sorcerous forces on Genabackis. Among the Malazan citizenry, he was seen as the Empress' left hand, and as someone who acted behind the scenes to assure the health of the empire.<br>
The Pannion Seer	Distant prophet-tyrant ruling the Pannion Domin, whose holy war looms over Genabackis.<br>
Tholis	High Mage affiliated with the T'orrud Cabal.<br>
Toc the Elder	Veteran of the Old Guard and father of Toc the Younger, vanished during Laseen's purges.<br>
Topper	Commander of the Claw, the Empress's elite corps of assassins.<br>
Travale	Pious soldier serving within Baruk's T'orrud Cabal.<br>
Turban Orr	Powerful and ambitious councilman of Darujhistan and lover of Lady Simtal.<br>
Vildron	Member of the city guard of Darujhistan.<br>
Vorcan	Formidable Mistress of the Assassins' Guild in Darujhistan, often called the Master of Assassins.<br>
