Adept	Mostly used to specifically describe those able to interpret the Deck of Dragons.
Moon's Spawn	Also known as the Tiste Andii's Fang of Darkness, a floating fortress or skykeep containing a city commanded by the Tiste Andii. According to Anomander Rake, the city was home to children, priests, and several scholarly warlocks. The fortress sheltered a vast flock of Great Ravens that nested in the crags and caverns of its basalt surface, and within its inner chambers lay the lair of Silanah, the Eleint.<br>It appeared as a vertically-shaped oblong with no visible signs of construction on its exterior, apart from a small ledge with a recessed doorway leading inside. Its floating nature rendered it immune to siege, and even the undead Logros T'lan Imass were unwilling or unable to assault its magical defenses.<br>
Omtose Phellack|Phellack	Omtose Phellack is the Jaghut Elder Warren of Ice. It is a frigid, nearly airless domain of jagged blue-green ice. It is said to provide the cold necessary to balance the fire and heat of existence. The T'lan Imass are drawn to its unveiling, and as a result, the warren has been breached many times over the millennia.
Otataral	A rare, reddish ore negating magic traditionally wielded by Imperial Adjuncts. It also prevented mages from accessing or opening their Warrens and prolonged exposure to refined ore could drive them insane. It is not clear if this was due to the Otataral itself or to the lack of access to their Warren. Even after long exposure, mages might be able to regain their powers as long as they were removed from the Otataral source, especially if the Otataral was of low quality.
Quorl	Huge dragonfly-like creature native to Genabackis, often used as a mount by the Tiste Andii. They were domesticated by the Moranth and used as a means of transportation for both goods and people.<br>
Rashan	The Warren of Dark, a Path of sorcery associated with shadow and concealment, commonly worked by Imperial mages such as Tayschrenn. Anathema to Thyr, the human Warren of Light.<br>
Ruse	The Path of the Sea.
Serc	The Path of the Sky.
Soletaken	An order of shape-shifting that allows an individual to take a single alternate form. Unlike D'ivers, Soletaken transform into one creature rather than splitting into multiple beings.
Starvald Demelain	The Tiam Warren, the First Warren, Warren of Dragons and Chaos.
Telas	The Path of Fire.
Tellann	The Elder Warren of the T'lan Imass. Once the Elder Warren of Fire, it was altered by the Ritual of Tellann, which transformed the Imass into the undead T'lan Imass. It is described as not just a source of magic, but also a "time," a place defined by "when" rather than "where." The warren is accessible to the T'lan Imass, allowing them to travel vast distances by turning to dust and riding the winds.
Tennes	The Path of the Land.
The Path of Hands	Legendary route across Seven Cities for soletaken and D'ivers seeking ascension, converging on the Azath House Tremorlor during the events of Deadhouse Gates.
The Paths	These are the Warrens most easily accessible to human mages and priests, used as a source of power.
The T'orrud Cabal	The Cabal of Darujhistan, a secretive organization of powerful mages and alchemists who protect the city from magical threats and maintain the balance of power.
The Tyrant Kings	The ancient rulers of Darujhistan who once held absolute power over the city. Their tyrannical reign ended long ago, but their legacy still haunts the city's history and architecture.
Thyr	Warren of Light, a Path of sorcery of blinding radiance and wards, commonly worked by Imperial battle-mages such as Tattersail. Anathema to Rashan, the human Warren of Dark.<br>
Warren	A realm from which mages, priests, shamans, and the like, who might use magic, drew their power. Structurally these Warrens were divided into two classes: Elder Warrens, which were associated with a particular race; and the Paths, which were those Warrens most commonly accessed by humans and which were derived from K'rul's blood. However, not all realms described as Warrens fit that description; The Abyss was named a Warren but seemed to be used only as a means of travel rather than a source of power. It is also possible that there was a difference on how some Warrens like the Abyss were created.<br><br><i>"The Warrens of Magic dwelt in the beyond. Find the gate and nudge it open a crack. What leaks out is yours to shape. Open yourself to the Warren that comes to you - that finds you. Draw forth its power - as much as your body and soul are capable of containing - but remember, when the body fails, the gate closes." (Tattersail)</i>
Warrens of Chaos	The miasmic paths between the Warrens, turbulent and dangerous transitional spaces where the boundaries between magical realms blur and dissolve into raw chaos.
Wheel of Ages	Mythic construct in Darujhistan’s catacombs built by Icarium; a massive time-measuring device whose purpose and readings are lost even to its creator’s fractured memory.
Whirlwind Rebellion	Seven Cities uprising sparked by the Whirlwind’s prophecy in Raraku; Sha'ik rallies tribes against Malazan rule, drawing the Chain of Dogs response.
